,1101,1102,1210,1215,1216,1229,1301,1303,1304,1305,1308,1319,1326,1476,1477,1531,1537,1560,1565,1570,1580,1590,1708,1709,1712,1720,1722,1762,1785,1795,1802,1817,1904,2002,2006,2014,2015,2027,2030,2031,2034,2059,2103,2204,2207,2227,2233,2236,2239,2301,2303,2308,2313,2317,2327,2330,2337,2338,2344,2345,2347,2351,2357,2360,2368,2376,2377,2379,2382,2383,2385,2387,2393,2395,2408,2409,2412,2420,2421,2423,2426,2430,2436,2441,2449,2454,2455,2458,2476,2481,2504,2520,2542,2548,2603,2606,2609,2610,2615,2618,2634,2637,2640,2707,2727,2732,2812,2834,2850,2851,2881,2882,2883,2884,2885,2886,2887,2890,2891,2892,2912,2915,3003,3006,3008,3016,3017,3023,3028,3033,3034,3035,3036,3037,3042,3044,3045,3059,3081,3088,3105,3131,3141,3152,3169,3189,3209,3211,3217,3218,3228,3231,3260,3264,3293,3324,3376,3406,3413,3416,3443,3455,3483,3491,3515,3526,3529,3532,3533,3548,3551,3552,3558,3567,3587,3592,3596,3617,3624,3653,3661,3665,3669,3675,3680,3701,3702,3707,3708,3711,3714,4129,4162,4438,4536,4549,4551,4721,4722,4736,4739,4755,4770,4904,4915,4919,4927,4938,4942,4945,4953,4958,4961,4966,4968,4971,5009,5220,5230,5234,5269,5274,5284,5288,5289,5309,5340,5347,5351,5371,5388,5425,5434,5439,5478,5483,5522,5534,5609,5871,5876,5904,6104,6121,6138,6143,6147,6176,6180,6182,6187,6196,6206,6213,6217,6223,6231,6239,6245,6251,6257,6269,6271,6274,6278,6279,6284,6285,6409,6411,6415,6438,6443,6446,6457,6470,6472,6477,6488,6491,6505,6510,6515,6525,6531,6533,6548,6592,6612,6667,6669,6670,6679,6683,6698,6706,6712,6716,6719,6732,6747,6756,6781,6788,6803,7556,8016,8027,8028,8044,8046,8069,8081,8086,8091,8104,8109,8112,8114,8150,8155,8183,8210,8215,8255,8279,8299,8358,8406,8422,8431,8433,8436,8454,8464,8478,8924,8926,8928,8938,8942,8996,9802,9907,9910,9911,9914,9917,9921,9933,9938,9939,9941,9958
2021-11-01,8569471,5023721,2064906,372086,5020098,824056,9623983,5870087,6693046,7359895,11356900,301308,3416270,384645,1248374,309540,131500,6985289,447460,1803031,91806,649128,4259849,7964041,968223,165470,2457430,445282,51853215,2162567,7172900,56213,4104692,46542843,3281774,15918190,196183,66766125,3576723,2674327,1881993,163148,2736765,417245,122616,26129,452762,20094,110870,3012199,134144926,11586092,40969757,18216191,2939627,17110357,33559433,11287783,20546856,2160647,2690086,4833875,1160036,1194162,9429696,44488779,6868170,2999833,3940805,4680703,724538,448528,3551319,500729,7964030,112793892,6706689,1027726,464429,280511,28494366,2002050,32584470,1527824,3975926,2963703,6596522,3867324,21092736,37067461,5451731,1921469,3585466,191029,145532049,11913735,105899719,196651612,38488641,125870422,1061067,8798045,39711,183408,385107,34276,3949761,12752245,66301,406791,25581088,14023450,29301122,17790152,8686616,8456500,14775510,15229134,23306369,10310589,728030,7112344,10701514,31525685,506979,19654497,12710858,345040,779272,6604464,5859715,59128138,1915876,71674191,8824623,416195,1854235,7254682,1353468,1006642,7829362,210261,8381093,420592,8427200,32599057,1035166,1296986,143270,178769,2024927,6495822,3295941,13275920,267224,831470,467718,2442959,1051789,614274,3965670,381137,1738187,11603542,4755038,3544635,985534,2486370,612263,216466,1675941,3857821,303876,133221,1394821,,11892982,11129,1075464,3864417,2268221,2231010,436162,1262669,420956,13878202,2460194,80125139,2866587,15443891,9729140,72067,158997,300225,80003,36996,414044,50302254,459492,362239,48468993,273023,,1986906,4665198,11625377,6285281,4143094,325015,95278,152151,3173487,7096165,462656,2256851,1015392,4139116,39070,168205,200560,538554,291853,23000,113079,297618,9477279,499611,9864233,9288828,17156632,830099,42903526,345566,1199614,215121,13943292,526108,216995,1359275,3857385,1497987,44493,30492612,1228321,5712225,6495952,5229100,1873665,752084,50061249,1394203,2468207,221404,4104256,25385415,7848631,317727,2837592,210506,10881363,4155826,2695799,11510987,1179227,7310328,1806638,1432837,6512408,169577,14495918,223661,952620,98154418,293772,1615688,134144,290992,19996904,2992258,1583610,2685068,2653442,456778,3415819,10358475,2604950,10318138,461853,9001,1071010,840640,185386,344433,611523,255003,11649209,379036,146345,,401639,157801,2774684,733459,1504276,17839,29172,4483276,376763,1507715,5723008,12075827,31055343,570772,4627672,507632,99330,49479,3118543,160088,3782246,6214302,6001068,318634,41094452,11598209,22345,2012814,8636972,979322,2170481,152798,10063,1190467,803255,632501,145505,4160926,407713,97330,1477595,505301,1336767,360688,2054716,371164,197165,672788,250125,253701,523289,985334,862551,658465,4354249
2021-11-02,9990897,4085367,3513629,440435,5136473,6463579,12273575,8620738,8050961,15509932,14335637,244547,4442334,588826,1104790,266850,106273,11180096,365960,1680413,100078,728038,2568186,4006470,1080156,106706,3148654,559705,38184729,1213187,9034088,27571,4222002,45392614,2309033,16527554,241637,33328856,5864502,2967324,2028003,251065,3268208,677800,181200,15534,365802,98030,102510,5524048,196610350,10822782,30449515,21351175,8656512,16544999,31913956,41577249,44676492,2703399,2699689,18751475,1802179,1527388,33781752,34254041,7584642,2250705,5517012,3154853,1488327,383445,5404733,441176,16625354,83296958,7517574,1294982,519529,248126,13310876,1594036,37411623,2004379,3877201,2965080,8478897,6600957,22704129,96731581,4804008,4433685,2463505,341092,182290309,11369355,117563522,322520068,39562466,207283469,2696092,7634382,23367,211644,774307,85038,4412354,15344973,175492,568902,31733604,13301001,31125246,9654855,13385706,13559701,12771217,13265261,24725265,12340601,1101274,8601019,15413004,31268231,699781,41158931,18661998,485038,643086,6984191,5000516,51962706,3432327,91361986,15786197,557734,2556019,14023207,1899175,368096,5321148,253042,27842481,1459688,11476549,30455287,1290792,582032,416995,210156,1934165,5509028,6675522,10449882,388354,731923,861775,5758849,794800,272055,3261485,914455,1829794,21362771,2609021,6198154,911009,2842891,847765,194133,1683221,5992961,131618,109084,3141483,,8677532,32586,1101521,6981881,3578469,1867323,335119,1701306,586311,16607717,2724709,82663249,1693368,10968225,9778187,102257,356941,260301,390279,58535,463822,35668410,2260941,347272,28914559,147768,,3243119,4919035,16086364,7876383,25664571,214485,74165,185699,3871966,6679508,474259,1632768,1717034,4438984,36000,104015,146668,768300,236051,17000,102259,260616,12525566,401481,53491797,91644900,22455016,351661,98975149,479111,1318598,186892,12886660,1206709,268055,2784138,2899420,2235593,109297,26597479,966455,7937250,4656319,8681435,2301356,458113,41401478,767412,2514635,261164,3764644,18868077,6126243,306635,4200631,253971,4873328,5873747,5071910,12166381,2333223,7923699,2315231,2386007,6125744,313756,26367218,174687,616352,106426260,157315,1014763,397752,166651,26558005,4588248,2044182,4323206,1704277,705934,8851630,13063761,2635528,7233205,429930,26000,2443615,759255,151619,431912,717321,81008,10807119,340261,188322,,396649,68430,2712018,943806,1525392,10056,27283,4924905,214690,990296,8177683,13370244,35633564,572456,7497712,552215,143520,41254,3909461,180789,4726487,4384687,8113654,282348,23075184,19119946,33365,1388384,10603288,1418211,2735519,221359,18031,851886,709358,1379884,143889,2175108,353595,106000,1661778,312524,948561,1090110,1568670,495881,124056,377708,322735,698236,820561,1274658,1073740,638175,2718535
2021-11-03,6499438,3115187,1159981,233279,4716207,4232667,9018534,7781503,7179431,9941198,14784827,611336,3857922,447055,1477333,267553,91051,3301388,183240,1707138,62484,817691,2545455,2219219,576671,631249,1949260,1196573,14023797,825469,6657920,67317,2788354,25151922,1863644,20288631,325049,19902190,11114303,5695029,2997150,117173,2482121,653842,147912,50503,293656,4070,117150,2550933,93583437,9326306,14510541,12336039,6317560,11404984,21737623,26057648,46965385,3796646,6467496,11696490,2935011,2027079,12963068,37716633,7602285,1511907,2882424,2680750,1178629,142604,1598613,334660,16105614,177508631,8510462,706513,655024,2363878,3964990,940726,11191552,2237738,19132602,3089194,6750274,2265495,9515854,71760593,2458275,1922961,1903683,157497,306737554,29396783,168912998,221310491,99591767,135706490,1895890,20153752,12256,125659,259699,24360,5157212,11330052,418074,1144465,14911092,10219417,19938090,7079777,6047525,9231573,12412977,7880483,19816431,5758717,1200448,3940673,6180893,14746660,396194,21645693,6371019,186507,402438,11083285,3895173,47894537,1703628,72174925,4609193,472853,1815299,5122821,1375456,271528,5042984,141374,21376399,375456,6021233,24136470,1107982,397974,768942,159314,1164231,6596518,10231825,11627326,1560982,355638,420217,2332661,690907,333676,2671045,1908657,326635,6181792,2016598,1302121,518282,1459991,312217,52030,625620,3258965,33000,103025,1295638,,5774388,39040,1264465,5357901,2485874,1350575,248465,1027548,234326,15900762,2306604,68283965,1342797,8413769,4253950,139324,230649,160023,155158,37583,230153,42536700,697397,597298,24013214,124247,,2358038,3404866,8162196,6110534,7688947,261357,77000,212371,2218576,8008039,217344,991319,408358,3435294,35227,39431,143463,416868,78281,8000,162000,141028,3966312,119754,30287298,134029708,19556114,440564,54253250,274472,877522,122063,7561898,848000,126982,6082940,3423037,1887100,41151,17328856,794428,2156710,1673859,5599453,1617983,1018814,23692662,467187,477254,188285,4789230,16301843,4021364,180200,2975336,146193,14745600,4385354,2230792,5410786,3984136,4485015,1414845,3424426,15384618,208175,31672716,203737,276206,65984092,115584,2289987,180646,322411,8555715,3855863,1793683,3710903,1016827,401798,2516582,14937020,1850565,2759057,823929,19000,382477,792342,246777,101715,2648846,48016,7708987,751671,73348,,309623,41404,2152198,406186,936341,41786,8125,3487133,525443,426256,12780012,8720253,13266832,390953,4192437,277799,64400,109236,4491437,139703,3347008,1338296,3680570,100661,11327546,9662151,4750,1898393,3768379,612354,1850564,152133,0,1513025,950696,387910,225045,5796523,219054,160090,612134,396548,236868,235170,929915,349715,160435,496132,159705,276053,966423,621081,2035074,355296,2899007
2021-11-04,7182214,2645674,1223306,301968,3928630,1921490,9188763,5755339,5447075,7385944,15634114,629547,3235818,654643,832036,789379,104068,5590624,1087484,7042454,59524,379884,2685557,3139807,448579,849983,2371588,834462,8569759,936097,8827350,25900,2732631,44877494,2481644,17054026,199983,21162348,8734909,4117343,1856450,132337,2784171,446459,57860,29145,224525,14061,78000,3968834,76461160,9037097,12611543,11377672,2499210,18888245,19361604,30534774,38989578,5622860,5128250,14628933,1986124,969315,27137803,19055204,12239212,1555033,5646943,1817331,1749417,222335,1932770,1548606,16769075,111472533,5701579,548701,416334,3261007,3241589,1414594,7428429,1607795,11856357,3142300,9739357,4758808,8017663,63789703,2279788,3707848,2650791,235430,246842780,15783368,130037993,206681189,84727139,181763924,1902150,19177974,32738,603015,774647,35485,3226917,11528027,174445,643879,14876750,15719987,38204252,11137037,6758883,8159424,9738123,10538084,32780572,8173330,942623,2759536,7268936,10598477,407732,9062797,5151833,318656,918769,9122157,4126087,45499109,1827918,48998741,4127992,333094,1720723,13070369,633172,462820,4713454,1014098,10646455,166444,10822225,16638253,792392,176182,968208,155139,2097952,21853002,6390478,6997198,1386955,413845,343381,2229965,1771174,166282,2273916,1934901,385162,6382529,1528825,1049260,676770,963252,267487,194239,1156842,1826122,53074,98213,655737,,31934022,41710,733040,2311038,2013956,2295233,209502,1092044,1573990,8391002,2257244,48886048,692528,6908121,6796781,61749,159246,85211,118136,86026,133832,28030050,1303423,307186,15938528,1875514,,2560068,2095571,15517167,16592397,3892570,308059,46000,123714,5329834,4459801,344857,1455365,749668,3327337,22000,35005,477899,351228,180733,11000,91050,168694,5132029,483116,17896960,153823280,9383078,1941154,36455957,193970,551752,124294,3942798,200344,208427,2812406,3289659,1224579,36357,11067736,1050779,1845938,1332806,7293138,1411804,627300,10786741,1090044,521163,435461,2917827,18642572,4086444,257466,2975232,197811,19737428,9569898,4468483,11840225,1938678,2656471,887002,4242774,11550179,185860,23504233,236086,337962,88161351,330381,2451218,635184,213060,8693075,1589734,645655,2070489,1071396,286730,1970419,7246145,1482972,1337843,722654,13029,299332,1364252,124303,489283,4803507,35000,7073885,708093,66502,,123590,145683,1776783,576285,930290,4401,12345,4117336,1437973,1484586,9097108,10367768,17684744,205908,6577783,194313,53307,17331,12505025,178824,5331830,920313,2459328,401245,9024641,8675142,22392,993864,5710582,1652790,1086427,103274,7064,548856,535524,599732,297563,1233220,277322,93000,410350,293232,269589,321021,2064471,664372,181820,188125,100288,314531,1164445,1580335,964656,270173,1622455
2021-11-05,14223233,3749287,1109541,480462,6133625,1556801,8764724,7378035,4042106,6719631,10865416,584182,2632865,655965,990042,119764,87919,10206893,460651,4888931,53217,592797,1923201,5902255,770327,355865,3167677,395646,23261387,585115,4655483,121044,1364105,43823404,1935058,15281577,296131,13092407,3526673,1527176,1082821,110478,8314637,1143145,95825,60104,542850,12765,80385,4707922,187161521,10784782,26737774,17741997,2386051,35086799,14502454,22452613,27812944,9050959,4256081,8095729,2837869,590856,12240558,43846322,11596833,2757889,6535540,1613978,1417374,285533,1753494,788758,13029553,310766226,6743383,2623074,1577800,7397314,3770049,1083783,5521912,1884920,14713832,3922770,3010633,5934397,12907038,30440234,1874542,1396715,3336443,270635,190946566,8290678,88153561,123187394,48907400,109094045,1200077,8511016,106481,247986,574178,33142,3033287,11315875,336222,424475,16014627,12766482,36142734,9341164,5503493,15555790,14947311,18434104,25529433,11514494,977340,4004136,4075833,9224905,1105359,15769408,6901116,322190,454316,4500345,24133745,48350144,2559661,54345348,9996436,663338,2913774,12785497,499121,341451,2082375,618978,11880197,114864,5109243,18855514,723076,537283,777720,385519,1654758,10681923,4062847,9193914,448704,284252,275982,2312664,1295598,88959,2778762,1477846,292609,3900397,7770300,1052927,990237,1728846,203169,76046,2618540,1521958,72358,138009,698273,,25138951,18200,394384,3518563,2136438,1200881,290677,830380,2460743,20327396,1882160,45098402,954535,7521430,5366026,144034,202822,170394,66001,33326,153862,19821370,1584391,224041,11742229,2542505,,4460442,3127014,8268531,13445229,4960908,1206045,467497,198919,5435044,8862634,897159,889212,385372,3077885,34000,13170,510294,827563,184606,20028,125790,155957,18155767,139270,15391163,25948593,7521700,2355582,22855119,230669,409924,352016,7028410,519493,158451,1765803,1721614,1584778,52920,10201079,927836,1405260,1260286,4755244,1417125,377552,45322339,547371,899980,486982,2966068,12503603,5431306,185500,3676431,326178,5550329,4794915,2554103,6068527,1175708,2378030,1578231,1138961,6580695,360434,12165882,322963,494769,50812829,237533,686356,488334,112991,5052562,3474611,225028,3459485,339211,114633,1286774,6833439,1109203,869498,459079,20000,302858,1038117,124411,208446,1951020,53002,6082106,893333,59520,,197616,78781,2875239,839095,1189992,16723,7160,7145838,488204,741152,7683190,9174821,22862998,386208,2541812,204517,82004,19206,2439053,98131,6090310,1057474,1734818,262936,6158305,7093999,18050,3296920,8021615,311877,692689,137171,13000,599189,335237,590864,170268,1422025,298594,54002,733408,290132,376686,209406,1000837,347774,137532,1229902,220035,653479,3446283,1594742,581411,1220800,1729726
2021-11-08,11878265,4736417,4641953,719808,6820451,1682454,12785472,8512157,6345853,18295205,13929576,498139,3323943,1098456,766225,234793,481928,5475780,256023,5476160,62687,2926583,4193551,4541738,1720366,399849,17247559,396222,35287647,530636,15513206,102532,4197406,98530499,8132217,57273104,450591,117398288,27553314,11310632,9622966,344079,5460558,648343,155744,24945,378158,27000,89123,2858956,207964234,6807337,13904310,20910258,2827551,20886897,19900482,26647065,31518047,4949855,4849589,5576973,4144162,873542,10049830,63632591,15906905,1034362,8317334,1001769,1972567,552239,1107165,544911,11598891,182910950,8772390,2285248,1124748,2122599,2204211,988286,13388734,2246993,13594031,10948581,2688774,2597043,7083818,52997166,2843167,1166140,2679509,385276,353687168,13217203,197241511,395616714,79147995,319064171,2848250,12947685,27135,974679,679009,35511,3160401,8405521,521332,619722,17910862,12925443,34003492,14922351,15018636,7895484,8498217,9187296,21174878,10120245,1179627,3024786,4195386,11705628,702315,10280392,3876700,238570,352640,5071055,17071402,34086951,2244579,27862898,4229191,789065,2862699,3615221,453405,589482,3278351,461696,7325380,276478,3122665,12335591,2187702,857531,333372,121046,1821693,21886981,4672013,13573103,455832,655275,281141,1260026,491137,121913,3999371,1280779,275009,4626028,9366868,935990,768270,939263,339089,69720,1264026,1333195,80100,147089,1498018,,14555081,15100,658274,3379055,1342877,1109168,278165,913712,2132915,7847935,2732165,34309712,1200649,28893007,6793805,103106,185285,218599,213643,35974,92059,15403054,2251351,329030,10886045,6524204,,4917935,2434882,10402876,8960571,5583099,422772,114011,161766,2302922,7523335,274706,954776,208795,11314159,30050,46011,2335040,377631,63205,5001,56500,513135,7922519,356631,12685913,23682931,8321183,1775540,34783080,231083,624657,261362,4197677,853264,258075,4116473,3276987,1481658,111051,8212287,1120814,1377663,1338884,7307078,2205503,389341,33749021,2277205,519135,281025,2593533,11190571,2082862,71132,3269030,788275,3273622,5281158,3822213,4390465,788366,2064146,1748639,1860343,6665904,190908,7972331,303181,523895,57264640,222163,1008771,152356,171359,3236103,2737933,263396,2424489,319320,752386,1068248,5391486,1220271,1301041,2415984,13051,217472,6025567,120610,318954,2084734,288228,8783410,1278544,54987,,155566,62436,4348041,562680,832108,29089,19221,4447672,378582,816753,4728244,6470204,15955640,304907,2286938,185464,95295,51175,1583530,65128,5282698,775201,1807476,208064,4852211,7956415,25140,4591563,4936876,1155057,626060,103270,3046,1211129,373267,201262,334587,852146,862419,127108,590162,352893,1033934,720954,2552273,247382,151137,410421,203309,1769616,635820,357867,637816,894133,5975910
2021-11-09,8393162,3306633,5057958,880181,10723591,1418870,12042986,9688064,5285628,7708130,11976019,360761,4577076,1095725,544296,88064,75927,2940134,455606,1305014,149349,3259978,2794263,5188082,2092909,432438,8321163,3821233,16005995,725356,23212558,44566,4072071,70663793,6506198,29615873,411774,98162767,30441903,4087261,3932223,744729,5942642,984397,483035,72828,835337,23000,78000,4531201,229917342,7107013,8837741,23994381,3321779,42340785,33496747,30362382,37073628,3313311,8277495,6142906,3555230,540986,21136273,59198753,14399045,2315809,6319798,1275242,2093119,385397,2590408,1399261,16437468,145129138,6241780,1109230,801947,1446545,1916920,700464,15425348,1830826,8350353,7326160,2041492,2267655,7294582,46823738,2380697,1210905,2113061,560598,243325104,25446190,204506755,429905066,69416858,339930339,2666781,11006136,84340,1626431,424962,120012,2973759,10262138,308682,417828,16178234,12543540,22564800,15162610,92062917,11973326,10721530,11453427,31347323,14343473,1749955,1996005,5224537,22726758,358029,6695280,47488063,594000,793916,22534158,9506009,37764533,1232008,48392224,4689777,1738655,2865390,5789130,305444,516423,1315263,482881,9043465,132642,11461923,11211138,791201,297960,578551,106423,1295598,9742574,8687804,7046888,1227025,564570,1014422,1472169,887618,351240,3887968,731937,1033800,2792599,8865154,701937,628915,759405,1662776,93503,627737,1072917,55375,379034,658278,,13341872,11135,1324977,2577153,1764070,1345622,233974,418921,1085691,5127124,2062788,31936363,1141242,27382778,2810963,103459,165782,154112,237444,98635,268751,9064850,2824138,1058583,10365270,2620453,,3591174,3985251,20666940,15786969,4342327,272793,92342,380921,4822593,16654976,1092830,746412,916336,6114099,17100,64510,1774262,1151636,270052,20019,70323,499696,7993777,122151,20059790,24113131,7069328,757155,25444697,268844,430566,214271,4378315,1287407,282472,2933471,2806812,1812255,38073,25205137,1059538,1494149,850268,7342372,2412479,348677,48461394,1819477,856772,906692,3057702,6940931,1989408,1996639,3804221,399577,4095099,6235008,4397367,6923460,1636349,1743753,1000418,1309646,4427369,367171,7116143,176209,461147,84840010,297051,531242,163519,104186,6686693,2143240,303710,1700180,346092,900959,1088426,14615428,2686186,861564,1351413,13004,202553,1698478,132142,236677,1061741,122330,2690202,685735,97373,,784298,112677,10110702,932732,304092,19995,19086,5478333,180759,826748,7048641,6396296,20326410,605321,2783414,387072,70154,59828,1378371,400976,17350390,1344263,1990542,250010,8456554,5161515,38119,3990833,12636078,2577949,860802,156029,22000,842474,621801,556688,294704,831499,1032173,284697,390046,280557,2265702,649631,1522763,1176950,378350,790498,332582,2808808,957711,532722,685908,490557,2409452
2021-11-10,8952723,3814954,2635501,603131,4505618,2686563,10160992,8918228,19427412,19698391,36811044,490625,3187338,2619049,1709587,103017,61270,3108764,233764,988246,66632,1431196,2324762,11514587,2032140,195145,6053997,1076729,12405160,686289,13607466,76443,6851902,34144227,2439834,14719023,270398,21603435,6381279,2079090,2129750,467181,6217076,3943356,248610,48831,1131295,16110,216047,2932105,128033517,6373621,8932687,22997778,2035458,18518512,40104909,14828607,39369225,4364492,4487714,5574758,3349109,836400,15755516,37871371,26976504,2280196,13028699,662350,3215401,472369,1723905,697818,16080705,123654273,8634462,608270,371461,2303030,2094400,874000,10042382,2015284,8535536,3607273,4075321,1558732,4853178,24924311,19626373,2659535,5409294,1222023,181655102,14760455,144624187,574169179,51928901,408391665,2183215,7573125,42320,576747,367093,48442,3040433,8456827,184228,1155178,16675523,8200259,24537863,34481647,16311593,22811212,10463676,13198972,14827468,9333723,1291061,2398578,2178883,16000534,669198,4976725,27552498,851507,2880467,59319985,5894964,38995078,1059440,42275213,3018177,1220130,1972897,20810600,628167,121282,1049152,736109,12499342,404654,10470678,12985491,587978,600462,116308,115860,938504,6272229,16197470,5155414,511938,875287,929118,2726034,774431,82781,2477664,1130188,683720,6499181,9268899,484066,648570,8585736,520591,75076,698548,2128472,52390,80477,1477965,,8790722,7040,1817759,1418352,1653131,1747232,239546,693192,2712859,5086337,3006135,27471727,1009676,13722516,27438697,95522,122634,130583,90767,48174,146697,14341360,2936500,542838,10251727,12958362,,4287463,2899694,22380833,24151134,4867787,185597,124121,245105,3587827,5877885,536855,431779,375937,3013738,69116,291821,1045285,1232436,170567,77441,63001,586455,10212106,148377,7486196,19847541,14877180,491893,16508177,571959,668077,157795,4711199,1074831,358470,2977158,6536426,1486229,54646,42962649,1371096,4601601,611795,4988593,1800336,296947,56137369,2555326,14972155,362576,1295139,7706017,1091050,1045766,2403919,269298,2878430,3089337,2852910,13067443,1662037,2537706,2983103,846447,3046165,241185,20929560,133223,1708361,43827679,344253,420960,110549,138261,2620407,3151584,518111,2276211,454977,363617,660330,8964029,1442559,900509,498266,28030,262099,982237,53150,164755,451367,106004,2649192,861042,106572,,352184,36627,6915693,512208,1355551,34163,13501,3808875,136429,867793,5805051,7696344,10933530,1217565,2771708,382315,128283,19235,2723987,379983,9415890,803196,1477541,495285,8586895,8344351,54764,4561789,6834511,895190,3420516,181259,2012,580847,357278,345966,501776,488282,1367876,166081,282700,150171,1278181,462795,3121072,293525,199621,709734,160863,1504655,779235,661714,1110222,718528,2815300
2021-11-11,10677681,5936703,1305938,539966,10535597,987017,15043985,11266865,8069886,12794062,20409234,522504,3504336,999663,1445268,432423,103366,1866719,240085,1618882,106774,1817912,3124271,9403992,1325787,245314,4966164,1680600,14133918,943005,43582352,40987,2437775,80281448,6956357,61859009,371983,105406033,20409924,5887749,5571103,300206,7796318,1538993,174095,52339,530495,25041,127110,3794675,108617850,4532358,14857263,18767739,1449982,20257792,43076616,13518843,44659188,2125205,4518459,4451628,7233445,271067,10473296,31113496,10467220,1389516,3917807,1120092,1081027,617758,968397,361157,10226295,91795563,10837310,626215,297243,1312859,2530203,1039045,105028894,1398334,5904599,3976455,3398392,2092188,5043530,33388339,40069645,2480217,4047434,1241006,279511663,14644261,180798159,619864827,71409279,395131049,1455698,8160448,29132,315611,632722,39922,3008153,9082473,124390,1016090,15654511,15342712,81592285,40635053,11848039,9170281,17154676,22560014,24381124,8627762,1072202,1808257,3031188,41302024,359662,8162965,25611106,345024,1779150,108075438,5622708,32213496,1320402,44492246,7856100,679259,2124768,15817964,510506,175106,1120517,354681,23535042,288197,15844638,14655309,788986,165307,308334,445143,3470349,4531616,3768488,6339382,494325,2055261,479033,1721088,2853818,57628,2986115,3511771,495925,3758536,10805463,646605,669105,5443389,455718,74101,522514,1109546,57418,121021,731086,,17746272,9569,2511677,1110773,1346968,426179,299229,5125182,1646189,16861775,2355222,39507822,868853,17317318,28516403,258438,261308,78250,77330,39690,205235,23844032,1947924,465290,14892724,6148837,,5653838,3073712,9362646,17168735,5781523,425013,433252,264610,2185169,6529368,688048,1112026,5385099,9267498,26000,391705,737826,1398935,192371,25000,52000,193349,15321193,369958,4510458,24569011,48703581,619576,16318054,335092,939189,85684,4023719,1043212,281830,1972903,1790745,1267271,104621,35901507,309850,2415934,1274639,6914363,1312688,249845,24311849,3348603,19020725,302575,3638127,4473767,1908862,1299370,2842019,230582,2693620,2495295,1430555,11873757,979556,24998886,2844304,1072404,11368204,323853,29744127,161985,600997,64341344,340998,2184227,197211,349691,8990985,1547530,420317,2397589,267134,1171520,3428656,7543847,1438955,1349986,801562,14000,478134,652764,85389,299121,676741,84791,3183799,818053,88328,,310002,41958,4575023,994117,2225614,37281,31211,3438560,156608,564351,9144901,9978065,8239668,2418912,1441260,196260,132610,33051,2307132,195212,7014735,775249,1085938,202055,5885356,5604260,38305,1821772,6558310,1400888,4654571,192745,69000,3553214,420756,438680,170101,911378,472300,72000,542235,178215,619892,574914,3151905,370556,284490,607944,204531,1680681,1435382,446178,1291719,528804,2148923
